"","Name","City","Rate","Date","Year"
"37","徐州邳州市博物馆","徐州市","AAA","2006.10.23","2006"
"38","徐州市泉山森林公园","徐州市","AAA","2006.11.28","2006"
"39","徐州邳州市土山古镇景区","徐州市","AAA","2009年","2009"
"40","徐州沛县汉之源景区","徐州市","AAA","2010.12.21","2010"
"41","徐州市张伯英艺术馆","徐州市","AAA","2010.12.21","2010"
"42","徐州市李可染艺术馆","徐州市","AAA","2011.12.21","2011"
"43","徐州沛县沛公园景区","徐州市","AAA","2011.12.21","2011"
"44","徐州市李超时烈士纪念馆","徐州市","AAA","2011.12.21","2011"
"45","徐州新沂市博物馆","徐州市","AAA","2011.12.21","2011"
"46","徐州市无名山景区","徐州市","AAA","2012.11.23","2012"
"47","徐州邳州市沙沟湖水杉公园","徐州市","AAA","2012.12.20","2012"
"48","徐州市桃花源休闲农庄","徐州市","AAA","2012.12.20","2012"
"49","徐州邳州市古栗园景区","徐州市","AAA","2013.11.15","2013"
"50","徐州市卧龙泉生态园","徐州市","AAA","2013年","2013"
"51","徐州市竹林寺景区","徐州市","AAA","2013年","2013"
"52","徐州市艺术馆","徐州市","AAA","2013.11.15","2013"
"53","徐州市喻继高艺术馆","徐州市","AAA","2013.12.4","2013"
"54","徐州丰县果都大观园景区","徐州市","AAA","2013.12.4","2013"
"55","徐州邳州市王杰纪念馆","徐州市","AAA","2014.11.18","2014"
"56","徐州新沂市城南馨园景区","徐州市","AAA","2014.11.18","2014"
"57","徐州市娇山湖景区","徐州市","AAA","2014.11.18","2014"
"58","徐州市燕山文化景区","徐州市","AAA","2014.11.18","2014"
"59","徐州邳州市淮海战役碾庄战斗纪念馆","徐州市","AAA","2014.12.10","2014"
"60","徐州市禹王山抗日阻击战遗址纪念园","徐州市","AAA","2015.12.18","2015"
"61","徐州市小窑头烈士陵园","徐州市","AAA","2015.12.18","2015"
"62","徐州市安国三诸侯文化园","徐州市","AAA","2015.12.18","2015"
"63","徐州市淮海文博园","徐州市","AAA","2016.4.15","2016"
"64","常州金坛市华罗庚公园","常州市","AAA","2005.4.27","2005"
"65","常州市新区中心公园","常州市","AAA","2007.12.25","2007"
"66","常州市艺林园","常州市","AAA","2012.11.23","2012"
"67","常州市运河五号创意街区","常州市","AAA","2012.11.23","2012"
"68","常州武进宋剑湖生态旅游区","常州市","AAA","2012.12.20","2012"
"69","常州市华夏艺博园","常州市","AAA","2014.12.10","2014"
"70","常州市金鹰海洋世界","常州市","AAA","2015.12.7","2015"
"71","常州溧阳市史候祠","常州市","AAA","2017.5.25","2017"
"72","苏州市何山公园","苏州市","AAA","2007.11.5","2007"
"73","苏州市荷塘月色湿地公园","苏州市","AAA","2008.9.25","2008"
"74","苏州市中国花卉植物园","苏州市","AAA","2010.12.21","2010"
"75","苏州市中国珍珠宝石城","苏州市","AAA","2009.12.16","2009"
"76","苏州市大白荡城市生态公园","苏州市","AAA","2012.12.20","2012"
"77","苏州市相城盛泽湖月季园","苏州市","AAA","2012.12.20","2012"
"78","苏州张家港市东渡苑景区","苏州市","AAA","2006.1.27","2006"
"79","苏州市张家港市梁丰生态园","苏州市","AAA","2009.1.19","2009"
"80","苏州昆山市巴城阳澄湖景区","苏州市","AAA","2009.1.19","2009"
"81","苏州吴江市青少年科技文化活动中心","苏州市","AAA","2009.1.19","2009"
"82","苏州市吴江市圆通寺景区","苏州市","AAA","2010.4.22","2010"
"83","苏州太仓市太仓公园(葊山园）","苏州市","AAA","2006.1.27","2006"
"84","苏州太仓市南园公园","苏州市","AAA","2006.1.27","2006"
"85","苏州吴江市莺湖文化旅游区","苏州市","AAA","2013.10.25","2013"
"86","苏州市昆山市城市生态森林公园景区","苏州市","AAA","2013.11.15","2013"
"87","苏州张家港市常阴沙生态农业旅游区","苏州市","AAA","2014.7.15","2014"
"88","苏州昆山市五谷丰灯景区","苏州市","AAA","2014.12.10","2014"
"89","南通市城市博物馆","南通市","AAA","2007.11.5","2007"
"90","南通市军山景区","南通市","AAA","2008.9.25","2008"
"91","南通市世外桃园休闲农庄","南通市","AAA","2006.11.8","2006"
"92","南通市城市绿谷","南通市","AAA","20011.10.11","2001"
"93","南通市南山寺","南通市","AAA","2013.11.15","2013"
"94","南通市忠孝文化园","南通市","AAA","2013.11.15","2013"
"95","南通市如皋市定慧寺","南通市","AAA","2006.1.27","2006"
"96","南通市金岛生态园","南通市","AAA","2006.1.27","2006"
"97","南通如皋市白蒲法宝禅寺","南通市","AAA","2007.11.21","2007"
"98","南通如皋市东方大寿星园","南通市","AAA","2007.11.21","2007"
"99","南通市长江药用植物园","南通市","AAA","2014.12.10","2014"
"100","南通市金岛生态园","南通市","AAA","2014.12.10","2014"
"101","南通如皋市中华长寿文化谷","南通市","AAA","2015.12.18","2015"
"102","南通如皋市龙游湖风景区","南通市","AAA","2015.12.18","2015"
"103","南通海安县苏中七战七捷纪念馆","南通市","AAA","2006.6.28","2006"
"104","南通海安县广福禅寺","南通市","AAA","20011.10.11","2001"
"105","南通海安县博物馆","南通市","AAA","2014.11.18","2014"
"106","南通海安县七星湖生态园","南通市","AAA","2014.7.15","2014"
"107","南通海安县万缘宝塔","南通市","AAA","2015.12.18","2015"
"108","南通海门市张謇纪念馆","南通市","AAA","20011.10.11","2001"
"109","南通启东市市黄金海滩景区","南通市","AAA","2011.12.21","2011"
"110","南通市小洋口风景区","南通市","AAA","2011.12.21","2011"
"111","南通如东市洋口港景区","南通市","AAA","2012.11.23","2012"
"112","南通如东市县国清园景区","南通市","AAA","2013.12.4","2013"
"113","南通探险王国","南通市","AAA","2017.11.17","2017"
"114","连云港市民主路文化旅游区","连云港市","AAA","2015.2.10","2015"
"115","连云港赣榆县抗日山景区","连云港市","AAA","2016.9.26","2016"
"116","连云港市宿城船山飞瀑景区","连云港市","AAA","2013.11.15","2013"
"117","连云港赣榆县海州湾旅游度假区","连云港市","AAA","2012.12.20","2012"
"118","连云港赣榆县和安湖湿地公园景区","连云港市","AAA","2013.7.19","2013"
"119","连云港赣榆县徐福泊船山景区","连云港市","AAA","2013.11.15","2013"
"120","连云港市夹谷山景区","连云港市","AAA","2014.7.15","2014"
"121","连云港市海州湾海洋乐园","连云港市","AAA","2016.11.21","2016"
"122","连云港市夹谷圣境景区","连云港市","AAA","2016.11.21","2016"
"123","连云港市孔雀沟景区","连云港市","AAA","2016.11.30","2016"
"124","连云港市云龙涧原生态景区","连云港市","AAA","2013.11.15","2013"
"125","连云港市青松岭森林公园","连云港市","AAA","2012.11.23","2012"
"126","连云港市御园景区","连云港市","AAA","2014.7.15","2014"
"127","连云港灌云县博物馆","连云港市","AAA","2012.11.23","2012"
"128","连云港灌云县烈士陵园","连云港市","AAA","2013.12.4","2013"
"129","连云港灌云县潮河湾生态园","连云港市","AAA","2011.12.21","2011"
"130","连云港灌南县人民革命纪念馆","连云港市","AAA","2007.11.21","2007"
"131","淮安市苏皖边区政府旧址纪念馆","淮安市","AAA","2008.4.29","2008"
"132","淮安市清晏园","淮安市","AAA","2009.9.27","2009"
"133","淮安市周恩来童年读书处","淮安市","AAA","2010.12.21","2010"
"134","淮安市钵池山景区","淮安市","AAA","2010.12.21","2010"
"135","淮安市涟水县华夏云锦艺术馆","淮安市","AAA","2011.12.21","2011"
"136","淮安市韩信故里景区","淮安市","AAA","2013.11.15","2013"
"137","淮安市日月洲生态园景区","淮安市","AAA","2014.7.15","2014"
"138","淮安市金湖县尧帝古城景区","淮安市","AAA","2015.12.15","2015"
"139","淮安盱眙县明祖陵","淮安市","AAA","2016.9.26","2016"
"140","淮安市白马湖森林公园","淮安市","AAA","2016.10.13","2016"
"141","淮安市洪泽西顺河二十六烈士陵园","淮安市","AAA","2017.12.29","2017"
"142","盐城市科技馆","盐城市","AAA","2010.12.21","2010"
"143","盐城市护国永宁禅寺","盐城市","AAA","2011.12.21","2011"
"144","盐城市世纪公园","盐城市","AAA","2006.6.28","2006"
"145","盐城市江苏永丰林农业生态园","盐城市","AAA","2006.10.23","2006"
"146","盐城市大丰东方湿地公园","盐城市","AAA","2011.12.21","2011"
"147","盐城市大丰丹顶鹤珍禽园景区","盐城市","AAA","2013.11.15","2013"
"148","盐城市射阳县后羿文化园景区","盐城市","AAA","2014.2.10","2014"
"149","盐城市阜宁县庙湾古城景区","盐城市","AAA","2013.12.4","2013"
"150","盐城市建湖县九龙口风景区","盐城市","AAA","2010.12.21","2010"
"151","盐城市阜宁县铁军纪念馆","盐城市","AAA","2014.12.10","2014"
"152","盐城东台市甘港旅游景区","盐城市","AAA","2015.2.10","2015"
"153","盐城东台市安丰古街","盐城市","AAA","2015.12.31","2015"
"154","盐城市建湖县西塘河景区","盐城市","AAA","2015.12.31","2015"
"155","盐城市大丰中华水浒园","盐城市","AAA","2015.12.31","2015"
"156","盐城市江苏省盐都郝氏故里旅游景区","盐城市","AAA","2016.12.28","2016"
"157","盐城市亭湖千鹤湾温泉风情小镇","盐城市","AAA","2016.12.28","2016"
"158","盐城市阜宁县盘龙古寺","盐城市","AAA","2017.12.25","2017"
"159","扬州市凤凰岛生态旅游区","扬州市","AAA","2006.1.27","2006"
"160","扬州市史可法纪念馆","扬州市","AAA","2006.6.28","2006"
"161","扬州市吴道台宅第","扬州市","AAA","2007.11.5","2007"
"162","扬州宝应县纵棹园","扬州市","AAA","2008.9.25","2008"
"163","扬州仪征市博物馆","扬州市","AAA","2009.12.16","2009"
"164","扬州高邮市镇国寺","扬州市","AAA","2010.2.11","2010"
"165","扬州高邮市文游台","扬州市","AAA","2010.12.21","2010"
"166","扬州仪征市红山体育公园","扬州市","AAA","2012.11.23","2012"
"167","扬州宝应县宁国寺景区","扬州市","AAA","2012.12.20","2012"
"168","扬州市陈园景区","扬州市","AAA","2013.11.15","2013"
"169","扬州市江都开元寺景区","扬州市","AAA","2013.12.4","2013"
"170","扬州市江都朴园景区","扬州市","AAA","2014.12.10","2014"
"171","扬州市润扬森林公园","扬州市","AAA","2016.11.29","2016"
"172","扬州市江都自在公园","扬州市","AAA","2017.10.23","2017"
"173","扬州仪征市陈集孔雀山生态体育公园","扬州市","AAA","2017.11.16","2017"
"174","扬州宝应县曹甸楚甸公园","扬州市","AAA","2017.12.25","2017"
"175","镇江市扬中中国职业装博览馆","镇江市","AAA","2010.2.11","2010"
"176","镇江市江苏禾木农博园","镇江市","AAA","2010.12.21","2010"
"177","镇江市中国（丹阳）眼镜城","镇江市","AAA","2010.12.21","2010"
"178","镇江句容市九龙山庄","镇江市","AAA","2011.12.21","2011"
"179","镇江市规划展示馆","镇江市","AAA","2012.11.23","2012"
"180","镇江句容市神牛红木艺术馆","镇江市","AAA","2013.11.15","2013"
"181","镇江句容市怡景湾度假村景区","镇江市","AAA","2013.12.4","2013"
"182","镇江句容市岩藤农场景区","镇江市","AAA","2014.7.15","2014"
"183","镇江市新区城市中央公园","镇江市","AAA","2015.12.22","2015"
"184","镇江市江心洲橘江里景区","镇江市","AAA","2015.12.22","2015"
"185","镇江扬中市园博园","镇江市","AAA","2016.12.28","2016"
"186","镇江市茅山红木艺术馆","镇江市","AAA","2017.12.28","2017"
"187","泰州泰兴市新四军黄桥战役纪念馆","泰州市","AAA","2006.12.23","2006"
"188","泰州市高港引江河风景区","泰州市","AAA","2007.11.21","2007"
"189","泰州市泰山公园","泰州市","AAA","2008.9.25","2008"
"190","泰州市光孝律寺","泰州市","AAA","2009.12.16","2009"
"191","泰州市中国人民解放军海军诞生地纪念馆","泰州市","AAA","2010.12.21","2010"
"192","泰州泰兴市中华红枫园景区","泰州市","AAA","2013.12.4","2013"
"193","泰州姜堰市溱湖湿地农业生态园景区","泰州市","AAA","2014.7.15","2014"
"194","泰州靖江市牧城景区","泰州市","AAA","2014.12.10","2014"
"195","泰州兴化市沙沟古镇","泰州市","AAA","2014.12.10","2014"
"196","泰州泰兴市国家古银杏公园","泰州市","AAA","2014.12.10","2014"
"197","泰州市麒麟湾景区","泰州市","AAA","2015.12.14","2015"
"198","泰州兴化市施耐庵文化园","泰州市","AAA","2015.12.14","2015"
"199","泰州泰兴市黄桥小南湖风景区","泰州市","AAA","2015.12.14","2015"
"200","泰州兴化市乌巾荡湿地公园","泰州市","AAA","2016.6.22","2016"
"201","泰州泰兴市庆云禅寺","泰州市","AAA","2016.12.23","2016"
"202","泰州高港区白马文化旅游区","泰州市","AAA","2017.12.8","2017"
"203","宿迁市宿北大战纪念馆","宿迁市","AAA","2009.12.16","2009"
"204","宿迁市博物馆","宿迁市","AAA","2011.12.21","2011"
"205","宿迁市古黄河水景公园","宿迁市","AAA","2012.12.20","2012"
"206","泗洪柳山湖景区","宿迁市","AAA","2009.12.16","2009"
"207","泗洪县洪泽湖森林公园","宿迁市","AAA","2010.12.21","2010"
"208","泗阳南园","宿迁市","AAA","2012.12.20","2012"
"209","泗阳奥林匹克公园","宿迁市","AAA","2013.12.4","2013"
"210","泗洪穆墩岛景区","宿迁市","AAA","2013.11.15","2013"
"211","印象黄河景区","宿迁市","AAA","2013.11.15","2013"
"212","宿迁市欢乐岛景区","宿迁市","AAA","2013.12.4","2013"
"213","克拉嗨谷景区","宿迁市","AAA","2014.12.10","2014"
"214","中国粮食博物馆","宿迁市","AAA","2014.12.10","2014"
"215","泗阳棉花博物馆","宿迁市","AAA","2014.12.10","2014"
"216","水利遗址博物馆","宿迁市","AAA","2015.12.23","2015"
"217","宿豫民防体验园","宿迁市","AAA","2015.12.23","2015"
"218","泗洪稻米文化馆","宿迁市","AAA","2015.12.23","2015"
"219","朱瑞红色文化旅游区","宿迁市","AAA","2016.12.24","2016"
"220","泗洪洪泽湖湿地温泉度假村","宿迁市","AAA","2016.12.24","2016"
"221","乾隆江南酒业文化旅游区","宿迁市","AAA","2017.12.19","2017"
